,Celebrity,Twitter handle,Category
"Really, people? ANYONE can be President? ANYONE? ANY-ONE?",Shonda Rhimes,@shondarhimes,TV Stars
Omg tanning for the first time in 2 months!!! This is going to be exuberating ! (Hope I used that right lmao) #givemeprops,"Nicole ""Snooki"" Polizzi",@snooki,Socialite
lubricant? I say lubriCAN!,Jimmy Kimmell,@jimmykimmel,TV Stars
"I'M SO HYPE RIGHT NOW EVERYTHING HAS CHANGED . HAVE YA'LL EVER SEEN TRON? THE END OF THE TRON WHERE EVERYTHING LIGHT UP!!!!
",Kanye West,@kanyewest,Musicians
My daughter just sneezed into my yawning mouth. Seemed really fucking pleased with herself. Joke's on her. She'll have to bury me someday.,Ryan Reynolds,@VancityReynolds,Movie Stars
"TIme, the ultimate truth teller.",Katy Perry,@katyperry,Musicians
I often feel a strong inclination to marry Barbara Streisand.,Lena Dunham,@lenadunham,TV Stars
Man… ninjas are kind of cool… I just don’t know any personally.,Kanye West,@kanyewest,Musicians
Fur pillows are actually hard to sleep on,Kanye West,@kanyewest,Musicians
I make awesome decisions in bike stores!!!,Kanye West,@kanyewest,Musicians
"I know everybody at Rolling Stone had one question on there mind... and the answer is... yes, the shoes are Dreis",Kanye West,@kanyewest,Musicians
Never do coke with an intern ... they may not be 21,Kanye West,@kanyewest,Musicians
My favorite unit of measurement is ‘a shit load.,Kanye West,@kanyewest,Musicians
No seriously ... I said my teeth are real diamonds... these are not fronts... I replaced my bottom row of teeth with diamonds,Kanye West,@kanyewest,Musicians
These days women look at my naked body in the same fearful way that pensioners look at snow,Frankie Boyle,@frankieboyle,Comedian
Find you a man who talks about you the way Tormund talks about Brienne of Tarth,Mindy Kaling,@mindykaling,TV Stars
@diplo should we do something about your tiny penis while we're at it hm,Lorde,@lordemusic,Musicians
Get Taylor Swift A Booty,Diplo,@diplo,Musicians
"The air here in Shanghai, China is windy and polluted. ...Nevermind ...I just farted.",Jason Mraz,@jason_mraz,Musicians
"I need to eat some dinner, who else is hungry in this world?",Scott Disick,@ScottDisick,Socialite
"ipad freezing up! Maybe it's overwhelmed,because it Just realized A Fabulous DIVA Was touching it ! Can't really Blame it, ""SNAP OUT OF IT""",Cher,@cher,Musicians
i love watching snooki giving birth on my tv it was the cutest thing :D,JWoww,@JENNIW0WW,TV Stars
Drinking breast milk shots...,"Nicole ""Snooki"" Polizzi",@snooki,TV Stars
"Hey everybody, Michael J. Fox got in touch with me today and we are good. Thank you for having my back.",Taylor Swift,@taylorswift13,Musicians
"""Chivalry ain't dead""",Chris Brown,@chrisbrown,Musicians
You try your best to leave you hood rabbits behind you.. But when your really from the block.. That ghetto hot sauce will stay forest!!!!,Tyrese,@Tyrese,Musicians
Man I'm learning all this freaky shit on twitterI want all you justin beaver loving ass kids off this motherfucker right now lol,50 Cent,@50cent,Musicians
Damnit I lost 70lbs I look anoronix,Metta World Peace,@MettaWorldPeace,Athletes
I know some dudes who literally can't leVe their house without diamonds and flash!! It's like crytinyte!!! #Shame,Tyrese,@Tyrese,Musicians
When ur stressed it means ur not relaxing enough. Thats why stressed is desserts spelled backwards,Rev Run,@RevRunWisdom,Musicians
I miss rappers bragging about their high phone bills. #simplertimes,Olivia Wilde,@oliviawilde,Movie Stars
true life: my housekeepers threw away my drugs.,Mac Miller,@MacMiller,Musicians
Why ever tarragon? It's tarrable,Sarah Silverman,@SarahKSilverman,Comedian
"I'VE BEEN UP SINCE 6:30, NEED STARBUCKS. LOL, VANILLA BEAN FRAPPE RAPPA LOL",Vanilla Ice,@vanillaice,Musicians
"All jokes aside, Justin Bieber is a piece of shit.",Seth Rogen,@Sethrogen,Movie Stars
My lips are overdrawn to compensate for my lack of giving a shit,RuPaul,@RuPaul,TV Stars
Madonna's new boyfriend is 26!?! That's the same age as her pacemaker.,Joan Rivers,@Joan_Rivers,Comedian
Be in style with a great smile!,Richard Simmons,@TheWeightSaint,Athletes
Today is my waxer's birthday. What do you get for the woman who removes everything?,Joan Rivers,@Joan_Rivers,Comedian
"A study says owning a dog makes you 10 years younger. My first thought was to rescue 2 more, but I don’t want to go through menopause again.",Joan Rivers,@Joan_Rivers,Comedian
